codigo;descricao;unidade;peso_medio;estoque;preco
2888;ACAI MAORI CX 5 LITROS;CX;;;59,04
3772;AMORA CONGELADA DEMARCHI CX10X1,020KG;PC;;;41,13
4219;CREME AMERICANO (BASE PARA MILKSHAKE) CX5;CX;;;67,63
4587;IOGURTE CONG MOVINS SABORES DIVERSOS CX20;PC;;;28,25
4588;IOGURTE CONG MOVINS SABORES DIVERSOS CX4P;PC;;;141,24
3758;POLPA DE CAJU CONG DEMARCHI CX6XPCT10X100;PC;;;33,70
259;PA DE FERRO 38CM;UN;;;136,14
257;PA DE MADEIRA BRANCA 40CM;UN;;;196,10
263;SUPORTE P/PIZZA RBS PCT500UNID;PC;;;37,27
262;VASSOURINHA DE PLASTICO;UN;;;13,05
2624;EXTRATO DE TOMATE SACHE EKMA CX6X1,7KG;SH;;;15,64
4026;EXTRATO DE TOMATE SACHE ELEFANTE CX6X1,7K;SH;;;28,14
2490;MOLHO DE TOMATE P/ PIZZA SACHE EKMA CX6X1;SH;;;9,89
1936;MOLHO DE TOMATE REFOGADO SACHE EKMA CX40X;PC;;;1,69
4299;MOLHO DE TOMATE SACHE BONARE CX6X1,7KG;SH;;;15,50
3789;MOLHO DE TOMATE TRITURADO SACHE POMAROLA;SH;;;15,47
3902;MOLHO REFOGADO SACHE EKMA CX6X1,700KG;SH;;;9,57
1784;POLPA DE TOMATE CAIXA BEST PULP SACHE 12K;CX;;;181,59
1052;TOMATE PELADO LATA ARCOBELLO PESO LIQ 2,5;LT;;;38,77
550;TOMATE PELADO LATA DI SALERNO PESO LIQ 2,;LT;;;41,53
4317;TOMATE PELADO LATA OLE MASTER CHEF PESO L;LT;;;25,21
191;TOMATE SECO ARCOBELLO BD 1KG;BD;;;19,52
192;TOMATE SECO ARCOBELLO BD 2KG / 1.4KG DREN;BD;;;35,41
4519;TOMATE SECO SAFRA REAL BD 2.2KG / 1.4KG D;BD;;;26,04
3589;TOMATE SECO YGUARA BD 2KG/ 1.4 DRENADO;BD;;;29,09
2489;TOMATE TRITURADO SACHE EKMA CX6X1,700KG;SH;;;13,33
814;ATUM PEDACO LATA GOMES CX24X170GR;LT;;;10,18
75;ATUM PEDACO POUCH GOMES CX12X475GR;UN;;;34,21
734;ATUM RALADO LATA MARSUL CX24X400GR;LT;;;24,32
777;ATUM RALADO POUCH 88 GOMES CX12X475GR;UN;;;23,01
77;ATUM RALADO POUCH GOMES CX12X475GR;UN;;;25,01
78;ATUM SOLIDO LATA GOMES CX24X170GR;LT;;;11,21
733;ATUM SOLIDO LATA MARSUL CX24X400GR;LT;;;31,00
3923;ATUM SOLIDO LATA NATURAL GOMES CX24X170GR;LT;;;11,24
1796;ATUM SOLIDO LATA PESCADOR CX24X140GR;LT;;;9,76
4596;CARCAÇA DE FRANGO CONG ALLIZ CX17,600KG/T;KG;;;11,65
4466;CARCAÇA DE FRANGO TEMPERADO CONG ALLIZ CX;KG;;;12,79
1957;CORAÇAO DE FRANGO CONG ADORO CX20KG/PCT+-;KG;;;31,39
4537;COXA C/SOBRECOXA CONG ALLIZ CX20KG//PCT+-;KG;;;7,97
2837;COXINHA DA ASA CONG ADORO CX20KG/PCT+-1,2;KG;;;9,80
4573;COXINHA DA ASA CONG ALLIZ CX20KG/PCT+-1KG;KG;;;10,12
1042;FILE COXA/SOBRECOXA S/OSSO CONG ADORO CX2;KG;;;13,28
4128;FILE DE MEIO PEITO CONG ALLIZ CX20KG/PCT+;KG;;;15,23
921;FILE DE MEIO PEITO CONG AURORA CX15KG/BLO;CX;;;240,56
1889;FILE DE PEITO S/SASSAMI CONG CANCAO CX20K;KG;;;14,75
4314;FILE DE PEITO S/SASSAMI CONG CVALE CX18KG;KG;;;13,96
401;FILE DE PEITO S/SASSAMI CONG ROSAVES CX20;KG;;;14,07
